millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
91377083,22.85,49.84,202.00,25.93,41.35
91407131,22.90,50.06,202.00,25.93,41.54
91437179,22.89,50.01,201.00,25.95,41.56
91467228,22.90,49.93,200.00,25.95,41.58
91497279,22.91,49.81,199.00,25.96,41.49
91527326,22.93,49.74,199.00,25.95,41.47
91557374,22.97,49.69,200.00,25.96,41.46
91587422,22.92,48.87,200.00,25.95,41.16
91617470,22.95,49.42,200.00,25.96,41.06
91647518,22.94,49.42,200.00,25.97,41.12
91677566,22.92,48.92,198.00,25.95,40.81
91707614,22.90,48.00,198.00,25.96,40.38
91737662,22.90,48.45,197.00,25.96,40.41
91767709,22.90,48.59,196.00,25.93,40.49
91797757,22.89,47.57,195.00,25.96,40.19
91827805,22.89,47.93,194.00,25.97,40.09
91857856,22.91,47.61,194.00,25.96,40.01
91887903,22.89,47.53,195.00,25.96,39.77
91917954,22.93,48.04,194.00,25.95,39.96
91948002,22.93,48.20,195.00,25.97,40.01
91978049,22.94,47.74,194.00,25.95,39.97
92008097,22.94,47.72,194.00,25.96,39.90
92038145,22.93,46.95,192.00,25.96,39.57
92068193,22.94,47.68,192.00,25.97,39.62
92098240,22.95,47.57,192.00,25.96,39.70
92128288,22.98,48.17,191.00,25.96,39.94
92158336,22.98,47.89,192.00,25.97,39.96
92188384,22.98,47.77,193.00,25.97,39.97
92218431,23.00,47.56,194.00,26.00,39.90
92248482,23.02,47.25,195.00,26.00,39.69
92278530,23.04,46.94,194.00,25.99,39.60
92308578,23.04,47.24,194.00,25.99,39.79
92338625,23.05,47.09,193.00,26.00,39.53
92368673,23.07,47.02,193.00,26.01,39.65
92398722,23.07,47.60,193.00,26.00,39.81
92428769,23.09,47.33,192.00,26.00,39.79
92458817,23.10,47.12,192.00,26.01,39.55
92488864,23.07,46.57,188.00,26.03,39.29
92518913,23.10,47.18,187.00,26.06,39.45
92548960,23.10,47.03,188.00,26.03,39.56
92579008,23.09,46.91,187.00,26.01,39.43
92609058,23.10,46.99,189.00,26.07,39.43
92639107,23.12,46.22,190.00,26.04,39.10
92669154,23.11,46.08,191.00,26.06,38.78
92699202,23.11,46.46,192.00,26.07,38.98
92729251,23.13,46.06,192.00,26.06,38.92
92759300,23.13,46.37,193.00,26.07,38.96
92789348,23.11,45.98,193.00,26.03,38.71
92819396,23.14,46.12,192.00,26.07,38.79
92849443,23.15,45.03,192.00,26.09,38.01
92879492,23.17,45.16,191.00,26.07,38.29
92909540,23.18,44.97,189.00,26.06,38.27
92939587,23.20,45.04,188.00,26.09,38.22
92969635,23.21,44.75,189.00,26.09,38.06
92999686,23.23,45.31,190.00,26.09,38.10
93029734,23.23,44.90,189.00,26.10,38.17
93059781,23.25,44.67,189.00,26.10,38.15
93089829,23.25,44.98,189.00,26.11,38.05
93119877,23.29,44.65,188.00,26.10,38.02
93149926,23.27,45.26,187.00,26.10,38.04
93179973,23.27,44.63,187.00,26.11,37.78
93210021,23.29,44.60,186.00,26.13,37.90
93240069,23.29,44.84,187.00,26.14,37.94
93270117,23.33,44.29,185.00,26.13,37.73
93300165,23.31,44.10,186.00,26.13,37.66
93330212,23.32,44.47,188.00,26.14,37.67
93360264,23.35,44.14,189.00,26.16,37.56
93390311,23.36,44.07,192.00,26.16,37.59
93420359,23.38,44.21,190.00,26.19,37.57
93450407,23.38,43.87,191.00,26.17,37.46
93480456,23.39,43.85,192.00,26.17,37.34
93510503,23.38,44.43,193.00,26.19,37.47
93540553,23.38,44.45,195.00,26.17,37.55
93570600,23.38,44.35,198.00,26.17,37.54
93600650,23.41,44.15,200.00,26.20,37.48
93630697,23.40,44.27,203.00,26.21,37.53
93660745,23.45,44.27,204.00,26.19,37.59
93690792,23.44,44.04,205.00,26.20,37.44
93720841,23.43,43.81,205.00,26.23,37.45
93750891,23.49,43.02,205.00,26.23,37.16
93780938,23.53,41.63,204.00,26.23,36.42
93810987,23.56,43.26,205.00,26.21,36.83
93841034,23.59,41.50,205.00,26.26,36.38
93871083,23.62,42.36,204.00,26.23,36.83
93901130,23.57,42.39,205.00,26.24,36.69
93931179,23.61,42.24,206.00,26.26,36.57
93961226,23.57,42.93,207.00,26.24,36.60
93991274,23.57,43.07,206.00,26.27,36.86
94021321,23.56,43.60,205.00,26.28,37.04
94051369,23.57,43.84,207.00,26.30,37.30
94081418,23.55,44.23,208.00,26.30,37.46
94111468,23.56,42.97,210.00,26.28,37.42
94141515,23.55,43.72,209.00,26.30,37.40
94171565,23.56,41.71,211.00,26.27,36.38
94201612,23.60,41.55,210.00,26.30,36.07
94231660,23.59,43.27,211.00,26.30,36.85
94261707,23.58,43.25,210.00,26.31,37.05
94291755,23.61,42.93,210.00,26.31,36.72
94321804,23.57,42.87,211.00,26.31,36.94
94351853,23.60,43.31,213.00,26.33,37.01
94381901,23.59,41.05,214.00,26.33,36.79
94411950,23.65,40.10,216.00,26.34,35.45
94441998,23.71,40.50,214.00,26.31,35.35
94472045,23.73,39.60,213.00,26.37,34.95
94502095,23.73,40.47,212.00,26.34,35.01
94532144,23.76,39.55,213.00,26.33,35.43
94562192,23.78,39.23,214.00,26.34,34.62
94592239,23.77,40.34,212.00,26.36,34.58
94622287,23.76,39.99,213.00,26.37,35.01
94652335,23.75,41.38,213.00,26.34,35.00
94682383,23.74,40.07,214.00,26.37,35.31
94712431,23.74,39.83,215.00,26.36,34.96
94742479,23.74,41.09,215.00,26.37,35.29
94772527,23.71,41.46,214.00,26.40,35.37
94802575,23.70,43.00,214.00,26.36,36.06
94832623,23.69,42.21,216.00,26.38,35.95
94862673,23.70,40.13,218.00,26.36,35.38
94892722,23.71,40.40,218.00,26.38,35.00
94922769,23.71,40.06,217.00,26.37,35.19
94952817,23.71,40.48,216.00,26.38,35.02
94982864,23.73,39.12,217.00,26.37,34.26
95012913,23.81,38.93,216.00,26.40,34.14
95042960,23.79,38.66,214.00,26.38,34.06
95073008,23.86,38.21,213.00,26.38,33.65
95103055,23.86,39.75,213.00,26.38,33.98
95133104,23.87,38.21,212.00,26.40,33.66
95163153,23.91,38.11,213.00,26.40,33.39
95193201,23.92,37.98,211.00,26.38,33.29
95223249,23.94,37.74,209.00,26.43,33.21
95253299,23.91,39.98,208.00,26.44,33.54
95283348,23.91,37.77,207.00,26.43,33.41
95313395,23.93,38.57,208.00,26.43,33.94
95343443,23.88,40.07,210.00,26.46,34.19
95373491,23.91,37.58,211.00,26.46,33.34
95403539,23.92,39.48,210.00,26.43,33.38
95433586,23.86,39.40,211.00,26.46,33.44
95463634,23.84,40.09,212.00,26.46,34.33
95493682,23.91,37.18,212.00,26.46,32.87
95523730,23.92,37.65,212.00,26.44,33.07
95553777,23.91,38.72,213.00,26.47,33.13
95583825,23.86,38.87,212.00,26.46,33.64
95613876,23.86,38.16,213.00,26.48,33.49
95643924,23.86,38.25,213.00,26.47,33.53
95673971,23.88,37.43,212.00,26.46,32.77
95704019,23.85,39.07,211.00,26.47,33.07
95734068,23.85,38.53,211.00,26.48,33.13
95764115,23.82,37.86,209.00,26.47,32.87
95794164,23.83,37.65,210.00,26.48,32.67
95824211,23.85,37.48,211.00,26.48,32.51
95854260,23.84,37.51,210.00,26.50,32.43
95884307,23.88,37.04,209.00,26.47,32.27
95914355,23.91,36.95,208.00,26.47,32.20
95944402,23.89,37.15,208.00,26.47,32.15
95974451,23.89,36.86,206.00,26.47,32.10
96004503,23.91,37.08,206.00,26.47,32.07
96034551,23.92,36.92,204.00,26.46,32.08
96064600,23.91,37.01,204.00,26.47,32.04
96094648,23.93,37.02,203.00,26.47,31.98
96124695,23.91,36.98,201.00,26.47,32.00
96154743,23.93,37.16,199.00,26.50,32.07
96184791,23.91,37.24,198.00,26.47,32.08
96214839,23.92,37.04,196.00,26.47,32.03
96244887,23.92,36.83,195.00,26.47,31.88
96274935,23.92,36.76,196.00,26.48,31.80
96304984,23.93,36.52,196.00,26.48,31.68
96335031,23.94,36.57,198.00,26.47,31.67
96365081,23.94,36.27,198.00,26.47,31.54
96395129,23.94,36.40,199.00,26.47,31.53
96425178,23.94,36.43,200.00,26.48,31.54
96455225,23.93,36.33,201.00,26.47,31.47
96485273,23.92,36.34,203.00,26.47,31.43
96515320,23.91,36.32,203.00,26.47,31.48
96545369,23.93,36.23,204.00,26.47,31.37
96575416,23.94,36.05,205.00,26.46,31.23
96605465,23.91,35.89,206.00,26.44,31.12
96635512,23.93,35.92,208.00,26.47,31.05
96665561,23.92,36.11,209.00,26.47,31.17
96695608,23.90,36.24,210.00,26.47,31.24
96725656,23.93,36.28,212.00,26.47,31.20
96755701,23.90,35.96,214.00,26.47,31.10
96785750,23.88,36.15,216.00,26.46,31.12
96815800,23.92,35.56,217.00,26.47,30.93
96845848,23.94,35.53,217.00,26.47,30.90
96875898,23.93,35.57,216.00,26.47,30.80
96905946,23.91,35.73,214.00,26.51,30.89
96935995,23.92,35.77,214.00,26.48,30.86
96966042,23.92,35.74,214.00,26.48,30.80
96996090,23.91,35.79,214.00,26.50,30.80
97026138,23.90,36.62,212.00,26.48,31.14
97056186,23.93,35.89,213.00,26.47,30.85
97086233,23.96,35.65,213.00,26.47,30.74
97116284,23.97,35.76,210.00,26.50,30.73
97146332,23.95,35.89,209.00,26.51,30.83
97176381,23.93,37.47,209.00,26.51,31.61
97206428,23.91,37.51,208.00,26.52,31.66
97236476,23.89,37.23,211.00,26.48,31.74
97266524,23.88,37.45,211.00,26.50,32.03
97296572,23.84,37.85,211.00,26.52,31.96
97326620,23.92,36.61,211.00,26.52,31.42
97356667,23.93,37.57,209.00,26.51,31.40
97386716,23.92,36.82,208.00,26.48,31.74
97416764,23.97,36.86,206.00,26.51,31.52
97446812,24.02,36.77,205.00,26.54,31.46
97476862,24.03,36.91,204.00,26.54,31.53
97506911,24.00,37.82,202.00,26.52,31.92
